location,deviceId,timestamp,data,value
SA,22229D5,2021-03-08 13:13:14,ch1,905
SA,22229D5,2021-03-08 13:13:14,ch2,439
SA,22229D5,2021-03-08 13:13:14,ch3,5
SA,22229D5,2021-03-08 13:13:14,ch4,298
SA,22229D5,2021-03-08 13:13:14,ch5,49
SA,22229D5,2021-03-08 13:14:14,ch1,906
SA,22229D5,2021-03-08 13:14:14,ch2,1245
SA,22229D5,2021-03-08 13:14:14,ch3,128
SA,22229D5,2021-03-08 13:14:14,ch4,298
SA,22229D5,2021-03-08 13:14:14,ch5,48
SA,22229D5,2021-03-08 13:15:15,ch1,906
SA,22229D5,2021-03-08 13:15:15,ch2,949
SA,22229D5,2021-03-08 13:15:15,ch3,83
SA,22229D5,2021-03-08 13:15:15,ch4,298
SA,22229D5,2021-03-08 13:15:15,ch5,48
SA,22229D5,2021-03-08 13:16:15,ch1,905
SA,22229D5,2021-03-08 13:16:15,ch2,1578
SA,22229D5,2021-03-08 13:16:15,ch3,227
SA,22229D5,2021-03-08 13:16:15,ch4,299
SA,22229D5,2021-03-08 13:16:15,ch5,48
SA,22229D5,2021-03-08 13:17:14,ch1,905
SA,22229D5,2021-03-08 13:17:14,ch2,1582
SA,22229D5,2021-03-08 13:17:14,ch3,230
SA,22229D5,2021-03-08 13:17:14,ch4,299
SA,22229D5,2021-03-08 13:17:14,ch5,47
SA,22229D5,2021-03-08 13:18:15,ch1,905
SA,22229D5,2021-03-08 13:18:15,ch2,1538
SA,22229D5,2021-03-08 13:18:15,ch3,198
SA,22229D5,2021-03-08 13:18:15,ch4,298
SA,22229D5,2021-03-08 13:18:15,ch5,47
SA,22229D5,2021-03-08 13:19:14,ch1,905
SA,22229D5,2021-03-08 13:19:14,ch2,1341
SA,22229D5,2021-03-08 13:19:14,ch3,143
SA,22229D5,2021-03-08 13:19:14,ch4,298
SA,22229D5,2021-03-08 13:19:14,ch5,48
SA,22229D5,2021-03-08 13:20:15,ch1,905
SA,22229D5,2021-03-08 13:20:15,ch2,1429
SA,22229D5,2021-03-08 13:20:15,ch3,156
SA,22229D5,2021-03-08 13:20:15,ch4,299
SA,22229D5,2021-03-08 13:20:15,ch5,47
SA,22229D5,2021-03-08 13:21:15,ch1,903
SA,22229D5,2021-03-08 13:21:15,ch2,1445
SA,22229D5,2021-03-08 13:21:15,ch3,159
SA,22229D5,2021-03-08 13:21:15,ch4,299
SA,22229D5,2021-03-08 13:21:15,ch5,46
SA,22229D5,2021-03-08 13:22:15,ch1,905
SA,22229D5,2021-03-08 13:22:15,ch2,1400
SA,22229D5,2021-03-08 13:22:15,ch3,152
SA,22229D5,2021-03-08 13:22:15,ch4,299
SA,22229D5,2021-03-08 13:22:15,ch5,47
SA,22229D5,2021-03-08 13:23:15,ch1,905
